player_id,first_name,last_name,hand,birth_date,country_code,ranking,ranking_date
104925,Novak,Djokovic,R,19870522,SRB,1,20160104
104918,Andy,Murray,R,19870515,GBR,2,20160104
103819,Roger,Federer,R,19810808,SUI,3,20160104
104527,Stanislas,Wawrinka,R,19850328,SUI,4,20160104
104745,Rafael,Nadal,L,19860603,ESP,5,20160104
104607,Tomas,Berdych,R,19850917,CZE,6,20160104
103970,David,Ferrer,R,19820402,ESP,7,20160104
105453,Kei,Nishikori,R,19891229,JPN,8,20160104
104755,Richard,Gasquet,R,19860618,FRA,9,20160104
104542,Jo Wilfried,Tsonga,R,19850417,FRA,10,20160104
104545,John,Isner,R,19850426,USA,11,20160104
104731,Kevin,Anderson,R,19860518,RSA,12,20160104
105227,Marin,Cilic,R,19880928,CRO,13,20160104
105683,Milos,Raonic,R,19901227,CAN,14,20160104
104468,Gilles,Simon,R,19841227,FRA,15,20160104
105676,David,Goffin,R,19901207,BEL,16,20160104
103852,Feliciano,Lopez,L,19810920,ESP,17,20160104
106071,Bernard,Tomic,R,19921021,AUS,18,20160104
105332,Benoit,Paire,R,19890508,FRA,19,20160104
106233,Dominic,Thiem,R,19930903,AUT,20,20160104
104926,Fabio,Fognini,R,19870524,ITA,21,20160104
104678,Viktor,Troicki,R,19860210,SRB,22,20160104
103333,Ivo,Karlovic,R,19790228,CRO,23,20160104
104792,Gael,Monfils,R,19860901,FRA,24,20160104
105138,Roberto,Bautista Agut,R,19880414,ESP,25,20160104
106058,Jack,Sock,R,19920924,USA,26,20160104
104198,Guillermo,Garcia Lopez,R,19830604,ESP,27,20160104
105777,Grigor,Dimitrov,R,19910516,BUL,28,20160104
104312,Andreas,Seppi,R,19840221,ITA,29,20160104
106401,Nick,Kyrgios,R,19950427,AUS,30,20160104
104871,Jeremy,Chardy,R,19870212,FRA,31,20160104
105449,Steve,Johnson,R,19891224,USA,32,20160104
105311,Joao,Sousa,R,19890330,POR,33,20160104
104259,Philipp,Kohlschreiber,R,19831016,GER,34,20160104
104919,Leonardo,Mayer,R,19870515,ARG,35,20160104
105238,Alexandr,Dolgopolov,R,19881107,UKR,36,20160104
105064,Thomaz,Bellucci,L,19871230,BRA,37,20160104
104180,Gilles,Muller,L,19830509,LUX,38,20160104
105577,Vasek,Pospisil,R,19900623,CAN,39,20160104
104655,Pablo,Cuevas,R,19860101,URU,40,20160104
106210,Jiri,Vesely,L,19930710,CZE,41,20160104
103990,Tommy,Robredo,R,19820501,ESP,42,20160104
105373,Martin,Klizan,L,19890711,SVK,43,20160104
106432,Borna,Coric,R,19961114,CRO,44,20160104
105379,Aljaz,Bedene,R,19890718,GBR,45,20160104
104571,Marcos,Baghdatis,R,19850617,CYP,46,20160104
105173,Adrian,Mannarino,L,19880629,FRA,47,20160104
